option,gender,c-td,c-index,auc
"{'nodes': [12], 'lr_rate': 0.0001, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 0}",female,0.6676,0.8894,0.8741
"{'nodes': [12, 40], 'lr_rate': 0.0001, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 1}",female,0.3794,0.8087,0.7964
"{'nodes': [12, 40, 20], 'lr_rate': 0.0001, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 2}",female,0.5455,0.9029,0.8872
"{'nodes': [12, 40, 40, 20], 'lr_rate': 0.0001, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 3}",female,0.4104,0.9288,0.9101
"{'nodes': [12, 40, 40, 20], 'lr_rate': 0.0001, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 4}",female,0.5623,0.8929,0.8775
"{'nodes': [12, 40, 40, 20, 10], 'lr_rate': 0.0001, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 5}",female,0.5483,0.9374,0.9193
"{'nodes': [12, 40, 40, 40, 20], 'lr_rate': 0.0001, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 6}",female,0.3531,0.9159,0.8984
"{'nodes': [20], 'lr_rate': 0.0001, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 7}",female,0.5713,0.8587,0.8457
"{'nodes': [20, 40], 'lr_rate': 0.0001, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 8}",female,0.5295,0.8679,0.8533
"{'nodes': [20, 40, 20], 'lr_rate': 0.0001, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 9}",female,0.4675,0.7538,0.7445
"{'nodes': [20, 40, 40, 20], 'lr_rate': 0.0001, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 10}",female,0.4171,0.7382,0.7293
"{'nodes': [12], 'lr_rate': 0.0001, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 11}",female,0.6005,0.9209999999999999,0.9042
"{'nodes': [12, 40], 'lr_rate': 0.0001, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 12}",female,0.4043,0.7754,0.7647
"{'nodes': [12, 40, 20], 'lr_rate': 0.0001, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 13}",female,0.3974,0.8949,0.8793
"{'nodes': [12, 40, 40, 20], 'lr_rate': 0.0001, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 14}",female,0.3362,0.6508,0.644
"{'nodes': [12, 40, 40, 20], 'lr_rate': 0.0001, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 15}",female,0.5748,0.889,0.8736
"{'nodes': [12, 40, 40, 20, 10], 'lr_rate': 0.0001, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 16}",female,0.3356,0.7547,0.7443
"{'nodes': [12, 40, 40, 40, 20], 'lr_rate': 0.0001, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 17}",female,0.6356,0.9276,0.9101
"{'nodes': [20], 'lr_rate': 0.0001, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 18}",female,0.4036,0.8632,0.8477
"{'nodes': [20, 40], 'lr_rate': 0.0001, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 19}",female,0.5118,0.8922,0.8764
"{'nodes': [20, 40, 20], 'lr_rate': 0.0001, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 20}",female,0.604,0.9079,0.8907
"{'nodes': [20, 40, 40, 20], 'lr_rate': 0.0001, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 21}",female,0.4175,0.7669,0.7565
"{'nodes': [12], 'lr_rate': 0.0001, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 22}",female,0.4158,0.745,0.7337
"{'nodes': [12, 40], 'lr_rate': 0.0001, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 23}",female,0.5825,0.7805,0.7699
"{'nodes': [12, 40, 20], 'lr_rate': 0.0001, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 24}",female,0.5043,0.9396,0.9203
"{'nodes': [12, 40, 40, 20], 'lr_rate': 0.0001, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 25}",female,0.5757,0.8741,0.8593
"{'nodes': [12, 40, 40, 20], 'lr_rate': 0.0001, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 26}",female,0.5102,0.8566,0.8420000000000001
"{'nodes': [12, 40, 40, 20, 10], 'lr_rate': 0.0001, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 27}",female,0.6288,0.9471,0.9285
"{'nodes': [12, 40, 40, 40, 20], 'lr_rate': 0.0001, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 28}",female,0.36,0.7162,0.7073
"{'nodes': [20], 'lr_rate': 0.0001, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 29}",female,0.6172,0.9159,0.8987
"{'nodes': [20, 40], 'lr_rate': 0.0001, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 30}",female,0.3973,0.8303,0.8154
"{'nodes': [20, 40, 20], 'lr_rate': 0.0001, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 31}",female,0.5135,0.9069,0.8906
